(PAR) Feature;Peak Count;Mean Peak Amplitude;Mean Peak Prominence;Number of peakless sequences;;;;
CMD_SPEED;365670;1,203174333;0,09095595;0;;pareto candidate;;best solution
TORQUE;2080910;0,86660413;0,042733595;0;;;;
